host_name,planet_name,disposition,orbital_period_days,semi_major_axis_au,eccentricity,inclination_deg,planet_radius_re,planet_radius_rj,planet_mass_me,planet_mass_mj,planet_density_gcm3,transit_depth_ppm,tansit_duration_hrs,impact_parameter,a_over_rstar,radius_ratio,stellar_teff_k,stellar_logg_cgs,stellar_metallicity_dex,stellar_radius_rsun,stellar_mass_msun,stellar_density_cgs,stellar_luminosity_lsun,stellar_age_gyr,stellar__rot_period_days,planet_insolation_earth,planet_eq_temp_k,ra_deg,dec_deg,pm_ra_masyr,pm_dec_masyr,parallax_mas,distance_pc,snr_model,snr_single_event,snr_multi_event,depth_source_unit,source_catalog
K00752.01,,CONFIRMED,9.48803557,0.0853,0.0,89.66,2.26,,,,,615.8,2.9575,0.146,24.81,0.022344,5455.0,4.467,0.14,0.927,0.919,3.20796,,,,93.59,793.0,291.93423,48.141651,,,,,35.8,5.135849,28.47082,615.8,kepler
K00752.02,,CONFIRMED,54.4183827,0.2734,0.0,89.57,2.83,,,,,874.8,4.507,0.586,77.9,0.027954,5455.0,4.467,0.14,0.927,0.919,3.02368,,,,9.11,443.0,291.93423,48.141651,,,,,25.8,7.027669,20.109507,874.8,kepler
K00753.01,,CANDIDATE,19.89913995,0.1419,0.0,88.96,14.6,,,,,10829.0,1.7822,0.969,53.5,0.154046,5853.0,4.544,-0.18,0.868,0.961,7.29555,,,,39.3,638.0,297.00482,48.134129,,,,,76.3,37.159767,187.4491,10829.0,kepler
K00754.01,,FALSE POSITIVE,1.736952453,0.0267,0.0,67.09,33.46,,,,,8079.2,2.40641,1.276,3.278,0.387394,5805.0,4.564,-0.52,0.791,0.836,0.2208,,,,891.96,1395.0,285.53461,48.28521,,,,,505.6,39.06655,541.8951,8079.2,kepler
K00755.01,,CONFIRMED,2.525591777,0.0374,0.0,85.41,2.75,,,,,603.3,1.6545,0.701,8.75,0.024064,6031.0,4.438,0.07,1.046,1.095,1.98635,,,,926.16,1406.0,288.75488,48.2262,,,,,40.9,4.749945,33.1919,603.3,kepler
K00756.01,,CONFIRMED,11.09432054,0.0992,0.0,88.11,3.9,,,,,1517.5,4.5945,0.538,16.36,0.036779,6046.0,4.486,-0.08,0.972,1.053,0.67324,,,,114.81,835.0,296.28613,48.22467,,,,,66.5,9.046456,55.204865,1517.5,kepler
K00756.02,,CONFIRMED,4.13443512,0.0514,0.0,83.72,2.77,,,,,686.0,3.1402,0.762,6.96,0.026133,6046.0,4.486,-0.08,0.972,1.053,0.37377,,,,427.65,1160.0,296.28613,48.22467,,,,,40.2,5.500643,33.546658,686.0,kepler
K00756.03,,CONFIRMED,2.56658897,0.0374,0.0,82.17,1.59,,,,,226.5,2.429,0.755,5.54,0.014983,6046.0,4.486,-0.08,0.972,1.053,0.48909,,,,807.74,1360.0,296.28613,48.22467,,,,,15.0,4.3886313,12.325094,226.5,kepler
K00114.01,,FALSE POSITIVE,7.36178958,0.082,0.0,60.92,39.21,,,,,233.7,5.022,1.169,2.4,0.183387,6227.0,3.986,0.0,1.958,1.358,0.00485,,,,767.22,1342.0,298.86435,42.151569,,,,,47.7,10.964684,46.15308,233.7,kepler
K00757.01,,CONFIRMED,16.06864674,0.1158,0.0,89.92,5.76,,,,,4914.3,3.5347,0.052,36.85,0.062161,5031.0,4.485,0.16,0.848,0.801,3.6659,,,,30.75,600.0,286.99948,48.37579,,,,,161.9,20.457163,137.44981,4914.3,kepler
K00001.01,,CONFIRMED,2.470613377,0.0354,0.0,84.41,13.04,,,,,14231.0,1.74319,0.818,8.3977,0.123871,5820.0,4.457,-0.06,0.964,0.971,1.83538,,,,761.46,1339.0,286.80847,49.316399,,,,,4304.3,544.1701,6468.04,14231.0,kepler
K00002.01,,CONFIRMED,2.204735417,0.0376,0.0,87.21,16.1,,,,,6674.7,3.88864,0.224,4.602,0.075522,6440.0,4.019,0.14,1.952,1.449,0.37936,,,,4148.92,2048.0,292.24728,47.969521,,,,,5945.9,232.27,3862.1846,6674.7,kepler
K00010.01,,CONFIRMED,3.522498429,0.0473,0.0,85.2,14.59,,,,,9145.7,3.19843,0.631,7.541,0.092086,6225.0,4.169,-0.04,1.451,1.132,0.65374,,,,1264.67,1521.0,281.28812,42.45108,,,,,1741.5,130.83832,1725.5824,9145.7,kepler
K00112.02,,CONFIRMED,3.709214104,0.0465,0.0,89.73,1.16,,,,,131.1,2.6302,0.051,10.888,0.010424,5833.0,4.407,-0.04,1.022,0.974,1.77451,,,,500.46,1206.0,295.64871,48.49556,,,,,50.6,4.8657312,41.28873,131.1,kepler
K00742.01,,FALSE POSITIVE,11.521446064,0.0978,0.0,83.13,150.51,,,,,17984.0,3.6399,2.483,20.75,1.625358,5795.0,4.554,-0.2,0.848,0.938,1.27376,,,,75.88,753.0,297.07993,47.597401,,,,,622.1,92.901566,628.3708,17984.0,kepler
K00743.01,,FALSE POSITIVE,19.40393776,0.123,0.0,84.93,7.18,,,,,8918.7,12.2155,0.804,9.099,0.096729,5043.0,4.591,-0.54,0.68,0.657,0.03785,,,,17.69,523.0,289.25821,47.635319,,,,,214.7,49.468765,320.90817,8918.7,kepler
K00744.01,,FALSE POSITIVE,19.221388942,0.1417,0.0,88.05,49.29,,,,,74284.0,4.79843,1.065,31.323,0.476633,6117.0,4.496,-0.22,0.947,1.025,1.57359,,,,55.97,698.0,295.81454,47.69035,,,,,2317.0,387.658,2174.4263,74284.0,kepler
K00745.01,,FALSE POSITIVE,16.46983774,0.1147,0.0,88.81,7.94,,,,,10479.0,9.4378,0.292,14.05,0.092509,5152.0,4.517,-0.2,0.786,0.741,0.19353,,,,29.61,595.0,297.15442,47.668701,,,,,303.4,43.1625,258.8247,10479.0,kepler
K00746.01,,CONFIRMED,9.27358173,0.0759,0.0,88.93,2.47,,,,,1288.3,3.2875,0.387,20.65,0.032563,4856.0,4.583,-0.3,0.696,0.676,1.93557,,,,41.85,649.0,288.13824,47.724449,,,,,87.2,9.616924,71.48005,1288.3,kepler
K00747.01,,CONFIRMED,6.02930329,0.0585,0.0,89.5,2.85,,,,,1912.7,1.5821,0.258,29.31,0.038838,4537.0,4.648,0.21,0.672,0.761,13.09803,,,,50.04,678.0,283.71088,47.86327,,,,,65.4,6.876831,52.36939,1912.7,kepler
K00748.01,,FALSE POSITIVE,2.696370652,0.0349,0.0,89.56,1.58,,,,,397.9,3.6129,0.044,5.827,0.017673,4989.0,4.504,0.1,0.819,0.781,0.51471,,,,305.34,1066.0,283.76547,47.804298,,,,,48.2,5.508401,34.570904,397.9,kepler
K00749.01,,CONFIRMED,5.349553819,0.0563,0.0,89.62,2.55,,,,,831.0,3.0278,0.092,13.8015,0.025706,5185.0,4.44,0.16,0.91,0.831,1.73782,,,,168.99,919.0,292.37613,47.880989,,,,,60.6,6.0370364,48.504196,831.0,kepler
K00749.02,,CONFIRMED,3.94105221,0.046,0.0,88.88,1.7,,,,,363.3,2.5984,0.226,11.51,0.017105,5185.0,4.44,0.16,0.91,0.831,1.85636,,,,253.15,1018.0,292.37613,47.880989,,,,,28.9,4.5118856,22.749151,363.3,kepler
K00749.03,,CONFIRMED,8.10904807,0.0743,0.0,89.92,1.3,,,,,217.4,3.596,0.025,17.46,0.013127,5185.0,4.44,0.16,0.91,0.831,1.5302,,,,97.03,800.0,292.37613,47.880989,,,,,14.1,4.434382,9.776852,217.4,kepler
K00113.01,,FALSE POSITIVE,386.6030528,1.0719,0.0,89.95,41.5,,,,,24927.0,6.8057,0.9765,332.0,0.240528,5543.0,4.081,0.44,1.58,1.103,4.63335,,,,1.84,297.0,292.27374,37.671558,,,,,994.0,,,24927.0,kepler
K00750.01,,CONFIRMED,21.67699193,0.1408,0.0,87.91,2.95,,,,,857.2,3.4555,0.896,24.6,0.032666,4954.0,4.5,0.18,0.828,0.791,0.60007,,,,18.64,530.0,290.46512,47.92918,,,,,34.3,5.911944,24.54073,857.2,kepler
K00751.01,,CONFIRMED,4.99677968,0.0559,0.0,86.9,2.78,,,,,934.7,2.1717,0.71,13.14,0.030014,5339.0,4.552,0.18,0.847,0.931,1.71827,,,,166.95,917.0,297.80826,47.946671,,,,,28.2,4.132564,24.283327,934.7,kepler
K00769.01,,CONFIRMED,4.280963604,0.0503,0.0,87.72,2.3,,,,,750.8,2.875,0.424,10.64,0.025377,5644.0,4.564,-0.14,0.831,0.928,1.24482,,,,247.87,1012.0,294.26581,49.314091,,,,,61.8,6.7006826,52.913242,750.8,kepler
K00770.01,,FALSE POSITIVE,1.50635409,0.025,0.0,79.38,4.53,,,,,2211.7,1.5155,0.86,4.67,0.049899,5714.0,4.563,-0.2,0.831,0.926,0.84722,,,,1054.12,1452.0,295.66522,49.351009,,,,,181.1,9.787732,130.6654,2211.7,kepler
K00771.01,,FALSE POSITIVE,670.645531,1.5155,0.0,89.53,14.14,,,,,18091.0,53.412,0.701,85.24,0.131705,5520.0,4.466,0.48,0.983,1.03,0.02605,,,,0.35,196.0,296.69861,49.316479,,,,,642.7,70.64302,96.96236,18091.0,kepler
K00772.01,,FALSE POSITIVE,61.2563628,0.3137,0.0,87.54,39.87,,,,,5123.3,7.633,1.248,29.1,0.334628,6144.0,4.402,0.0,1.091,1.093,0.12411,,,,15.43,505.0,283.72592,49.479519,,,,,85.3,31.079844,73.10389,5123.3,kepler
K00773.01,,CONFIRMED,38.3775486,0.2163,0.0,89.44,2.82,,,,,724.2,5.588,0.468,47.8,0.024901,5481.0,4.369,0.16,1.036,0.915,1.40588,,,,18.53,529.0,291.72202,49.480869,,,,,34.7,10.352898,31.946487,724.2,kepler
K00757.02,,CONFIRMED,41.19725502,0.217,0.0,89.96,3.86,,,,,2213.9,4.6297,0.045,70.75,0.041693,5031.0,4.485,0.16,0.848,0.801,3.9471,,,,8.76,439.0,286.99948,48.37579,,,,,51.2,11.918161,37.877567,2213.9,kepler
K00757.03,,CONFIRMED,6.252962249,0.0617,0.0,89.68,2.65,,,,,1036.9,2.5819,0.105,18.94,0.028604,5031.0,4.485,0.16,0.848,0.801,3.28707,,,,108.3,823.0,286.99948,48.37579,,,,,47.1,5.834264,35.96252,1036.9,kepler
K00758.01,,CONFIRMED,16.01308419,0.1148,0.0,88.14,3.1,,,,,1121.9,3.2554,0.799,24.7,0.034369,5015.0,4.499,0.1,0.826,0.785,1.10942,,,,29.31,593.0,297.02563,48.478588,,,,,33.2,8.468995,31.066507,1121.9,kepler
K00759.01,,CONFIRMED,32.62876672,0.1889,0.0,89.98,3.36,,,,,1804.8,4.7971,0.021,53.95,0.03852,5586.0,4.56,-0.3,0.798,0.844,2.79093,,,,15.55,506.0,285.71854,48.505859,,,,,80.0,14.0889,61.372303,1804.8,kepler
K00759.02,,CONFIRMED,91.7732862,0.3764,0.0,89.61,2.12,,,,,652.0,6.473,0.606,89.4,0.02432,5586.0,4.56,-0.3,0.798,0.844,1.60558,,,,3.92,359.0,285.71854,48.505859,,,,,19.1,6.9461374,14.678595,652.0,kepler
